Symbol,Name,Exchange
EESH.P,Aneesh Capital Corp.,TSXV
AWM,Angel Wing Metals Inc.,TSXV
ANK,Angkor Resources Corp.,TSXV
GUS,Angus Gold Inc.,TSXV
AUNK.P,Ankh II Capital Inc.,TSXV
ANOR,AnorTech Inc.,TSXV
AVII.P,Antera Ventures II Corp.,TSXV
ANTL,Antler Gold Inc.,TSXV
APX,Apex Resources Inc.,TSXV
APMI,Apogee Minerals Ltd.,TSXV
APGO,Apollo Silver Corp.,TSXV
AIV.P,Apolo IV Acquisition Corp.,TSXV
AGT,Applied Graphite Technologies Corporation,TSXV
APL,Appulse Corporation,TSXV
ARJN,Aranjin Resources Ltd.,TSXV
ABR,Arbor Metals Corp.,TSXV
ARCH,Arch Biopartners Inc.,TSXV
ACS,Archon Minerals Limited,TSXV
ARC,ARCpoint Inc.,TSXV
ADD,Arctic Star Exploration Corp.,TSXV
AWX,Arcwest Exploration Inc.,TSXV
LIT,Argentina Lithium & Energy Corp.,TSXV
ASL,Argentum Silver Corp.,TSXV
AROC.P,Argo Opportunity Corp.,TSXV
ART,ARHT Media Inc.,TSXV
DAN,Arianne Phosphate Inc.,TSXV
AZS,Arizona Gold & Silver Inc.,TSXV
ARD,Armada Data Corporation,TSXV
ARK,Arras Minerals Corp.,TSXV
AXL,Arrow Exploration Corp.,TSXV
ARTG,Artemis Gold Inc.,TSXV
AOCC.P,Artrari One Capital Corp.,TSXV
RBZ,Arya Resources Ltd.,TSXV
ABZ,AsiaBaseMetals Inc.,TSXV
SAT,Asian Television Network International Ltd.,TSXV
ATR.P,Aster Acquisition Corp.,TSXV
BAY,Aston Bay Holdings Ltd.,TSXV
ASTR,Astra Exploration Inc.,TSXV
AST,Astron Connect Inc.,TSXV
ACOP,Atacama Copper Corporation,TSXV
ATX,ATEX Resources Inc.,TSXV
SASK,Atha Energy Corp.,TSXV
AAT,ATI Airtest Technologies Inc.,TSXV
ATY,Atico Mining Corporation,TSXV
AEP,Atlas Engineered Products Ltd.,TSXV
ACAP.P,Atlas One Capital Corporation,TSXV
SALT,Atlas Salt Inc.,TSXV
ATOM,Atomic Minerals Corporation,TSXV
AAN,Aton Resources Inc.,TSXV
AUGC,Au Gold Corp.,TSXV
AUK.P,Auka Capital Corp.,TSXV
AUQ,AuQ Gold Mining Inc.,TSXV
ARU,Aurania Resources Ltd.,TSXV
RES,Auric Resources Corp.,TSXV
AU,Aurion Resources Ltd.,TSXV
ACU,Aurora Solar Technologies Inc.,TSXV
ASG,Aurora Spine Corporation,TSXV
ARL,Aurum Lake Mining Corporation,TSXV
ASTN.P,Auston Capital Corp.,TSXV
AGLD,Austral Gold Limited,TSXV
XX,Avante Corp.,TSXV
AVN,Avanti Helium Corp.,TSXV
AVR,Avaron Mining Corp.,TSXV
AVG,Avidian Gold Corp.,TSXV
AVCR,Avricore Health Inc.,TSXV
AVU,Avrupa Minerals Ltd.,TSXV
ARIC,Awale Resources Limited,TSXV
AXET.P,Axe2 Acquisitions Inc.,TSXV
AZR,Azarga Metals Corp.,TSXV
AZM,Azimut Exploration Inc.,TSXV
AAZ,Azincourt Energy Corp.,TSXV
AZT,Aztec Minerals Corp.,TSXV
AMZ,Azucar Minerals Ltd.,TSXV
BP,Backstageplay Inc.,TSXV
YVR.P,Badger Capital Corp.,TSXV
BLDS,Badlands Resources Inc.,TSXV
BLTC.P,Baltic I Acquisition Corp.,TSXV
BNXA,Banxa Holdings Inc.,TSXV
BYN,Banyan Gold Corp.,TSXV
BRO,Barksdale Resources Corp.,TSXV
BGS,Baroyeca Gold & Silver Inc.,TSXV
BARU,Baru Gold Corp.,TSXV
FIND,Baselode Energy Corp.,TSXV
BAT,Batero Gold Corp.,TSXV
BMV,Bathurst Metals Corp.,TSXV
BMR,Battery Mineral Resources Corp.,TSXV
BHS,Bayhorse Silver Inc.,TSXV
BM,BC Moly Ltd.,TSXV
B,BCM Resources Corporation,TSXV
BCM,Bear Creek Mining Corporation,TSXV
BGF,Beauce Gold Fields Inc.,TSXV
BFM,Bedford Metals Corp.,TSXV
BCU,Bell Copper Corporation,TSXV
BEA,Belmont Resources Inc.,TSXV
BMET,Bemetals Corp.,TSXV
BEX,Benton Resources Inc.,TSXV
BZ,Benz Mining Corp.,TSXV
BST,Bessor Minerals Inc.,TSXV
BEW,BeWhere Holdings Inc.,TSXV
BRAU,Big Ridge Gold Corp.,TSXV
BIGT,Big Tree Carbon Inc.,TSXV
STAK.P,Bigstack Opportunities I Inc.,TSXV
BGA,BioNeutra Global Corporation,TSXV
BRM,Biorem Inc.,TSXV
RX,BioSyent Inc.,TSXV
BTCW,Bitcoin Well Inc.,TSXV
BTT,Bitterroot Resources Ltd.,TSXV
BMM,Black Mammoth Metals Corporation,TSXV
SWAN,Black Swan Graphene Inc.,TSXV
BRC,Blackrock Silver Corp.,TSXV
BWCG,Blackwolf Copper and Gold Ltd.,TSXV
BAG,Blende Silver Corp.,TSXV
BITK,Blockchaink2 Corp.,TSXV
MATE,Blockmate Ventures Inc.,TSXV
BKMT,Blockmint Technologies Inc.,TSXV
MOON,Blue Moon Metals Inc.,TSXV
BGE,Blue Sky Global Energy Corp.,TSXV
BSK,Blue Sky Uranium Corp.,TSXV
BAU,Blue Star Gold Corp.,TSXV
BLUE,Blue Thunder Mining Inc.,TSXV
BTV,Bluerush Inc.,TSXV
BSR,Bluestone Resources Inc.,TSXV
BLM,BluMetric Environmental Inc.,TSXV
BMEX,BMEX Gold Inc.,TSXV
BWLK,Boardwalktech Software Corp.,TSXV
BOCA,Bocana Resources Corp.,TSXV
BOLD.P,Bold Capital Enterprises Ltd.,TSXV
BOL,Bold Ventures Inc.,TSXV
BNZ,Bonanza Mining Corporation,TSXV
BTR,BonTerra Resources Inc.,TSXV
BONE,Boron One Holdings Inc.,TSXV
BLCC.P,Bow Lake Capital Corp.,TSXV
BQE,BQE Water Inc.,TSXV
BRCB.P,Brachium2 Capital Corp.,TSXV
BHLI,Bradda Head Lithium Limited,TSXV
BES,Braille Energy Systems Inc.,TSXV
BVA,Bravada Gold Corporation,TSXV
BRVO,Bravo Mining Corp.,TSXV
BRG,Brigadier Gold Limited,TSXV
BBB,Brixton Metals Corporation,TSXV
BRN.PR.A,Brookfield Investments Corporation,TSXV
BRW,Brunswick Exploration Inc.,TSXV
BTU,BTU Metals Corp.,TSXV
BILD,BuildDirect.Com Technologies Inc.,TSXV
BCF,Builders Capital Mortgage Corp.,TSXV
ZLTO,BULGOLD Inc.,TSXV
AMMO,Bullet Exploration Inc.,TSXV
BGD,Bullion Gold Resources Corp.,TSXV
BNKR,Bunker Hill Mining Corp.,TSXV
BUZH.P,Buzz Capital 2 Inc.,TSXV
BUZ.P,Buzz Capital Inc.,TSXV
BWR,BWR Exploration Inc.,TSXV
CMI,C-COM Satellite Systems Inc.,TSXV
CCCM,C3 Metals Inc.,TSXV
CBR,Cabral Gold Inc.,TSXV
CNO,California Nanotechnologies Corp.,TSXV
CNX,Callinex Mines Inc.,TSXV
COR,Camino Minerals Corporation,TSXV
CCB,Canada Carbon Inc.,TSXV
CNC,Canada Nickel Company Inc.,TSXV
CONE,Canada One Mining Corp.,TSXV
LL,Canada Rare Earth Corp.,TSXV
CANB,CanadaBis Capital Inc.,TSXV
CCMI,Canadian Critical Minerals Inc.,TSXV
CGC,Canadian Gold Corp.,TSXV
NET.UN,Canadian Net Real Estate Investment Trust,TSXV
CNRI,Canadian North Resources Inc.,TSXV
CPS,Canadian Premium Sand Inc.,TSXV
SPI,Canadian Spirit Resources Inc.,TSXV
CAF,Canaf Investments Inc.,TSXV
CVV,CanAlaska Uranium Ltd.,TSXV
CEC,Canasia Energy Corp.,TSXV
CAND,Candelaria Mining Corp.,TSXV
CANX,Canex Metals Inc,TSXV
CML,CaNickel Mining Limited,TSXV
NIS.P,Cann-is Capital Corp.,TSXV
RCR.P,Canna 8 Investment Trust,TSXV
LOVE,Cannara Biotech Inc.,TSXV
CLV,Canoe Mining Ventures Corp.,TSXV
CSOC.A,Canso Select Opportunities Corporation,TSXV
ROX,Canstar Resources Inc.,TSXV
CTM,Canterra Minerals Corporation,TSXV
CD,Cantex Mine Development Corp.,TSXV
CDA,Canuc Resources Corporation,TSXV
CYF,Canyon Creek Food Company Ltd.,TSXV
CMIL,Capella Minerals Limited,TSXV
CAI,Capitan Investment Ltd.,TSXV
CAPT,Capitan Silver Corp.,TSXV
CAPL.P,Caplink Ventures Inc.,TSXV
AUTO,Carbeeza Inc.,TSXV
KLX,Carbon Done Right Developments Inc.,TSXV
CT.P,CarbonTech Capital Corp.,TSXV
EKG,"CardioComm Solutions, Inc.",TSXV
CRBK,Carebook Technologies Inc.,TSXV
CRB,Cariboo Rose Resources Ltd.,TSXV
CGD,Carlin Gold Corporation,TSXV
RUSH,Carolina Rush Corporation,TSXV
ECR,Cartier Resources Inc.,TSXV
CASA,CASA Minerals Inc.,TSXV
CCD,Cascadero Copper Corporation,TSXV
CAM,Cascadia Minerals Ltd.,TSXV
GLDC,Cassiar Gold Corp.,TSXV
CBAR.P,Castlebar Capital Corp.,TSXV
CSTL.P,Castlecap Capital Inc.,TSXV
CBIT,Cathedra Bitcoin Inc.,TSXV
CVY.P,Cavalry Capital Corp.,TSXV
CBLT,CBLT Inc.,TSXV
CEBI,CE Brands Inc.,TSXV
CZO,Ceapro Inc.,TSXV
CES.P,Celestial Acquisition Corp.,TSXV
CVX,Cematrix Corporation,TSXV
CTA,Centaurus Energy Inc.,TSXV
CTG,Centenario Gold Corp.,TSXV
CIO,Central Iron Ore Limited,TSXV
CTN,Centurion Minerals Ltd.,TSXV
LCE,Century Lithium Corp.,TSXV
CYL,Ceylon Graphite Corp.,TSXV
CFY,CF Energy Corp.,TSXV
OYL,CGX Energy Inc.,TSXV
PERU,Chakana Copper Corp.,TSXV
CBA,Champion Bear Resources Ltd.,TSXV
YES,Char Technologies Ltd.,TSXV
CH,Charbone Hydrogen Corporation,TSXV
NZP,Chatham Rock Phosphate Limited,TSXV
CKG,Chesapeake Gold Corp.,TSXV
CBG,Chibougamau Independent Mines Inc.,TSXV
CCIC.P,Chicane Capital I Corp.,TSXV
CRI,Churchill Resources Inc.,TSXV
CMC,Cielo Waste Solutions Corp.,TSXV
CAC.P,Cinaport Acquisition Corp. III,TSXV
AIR,Clean Air Metals Inc.,TSXV
CTEK,Cleantek Industries Inc.,TSXV
CBLU,Clear Blue Technologies International Inc.,TSXV
CZZ,Cleghorn Minerals Ltd.,TSXV
CEP,Cliffside Capital Ltd.,TSXV
CLIP,Clip Money Inc.,TSXV
CDX,Cloud DX Inc.,TSXV
CMB,CMC Metals Ltd.,TSXV
CNJ.P,CNJ Capital Investments Inc.,TSXV
COCO,Coast Copper Corp.,TSXV
CBV,Cobra Venture Corporation,TSXV
CCPC.P,Coco Pool Corp.,TSXV
CEI,Coelacanth Energy Inc.,TSXV
COHO,Coho Collective Kitchens Inc,TSXV
CBI,Colibri Resource Corporation,TSXV
COLL.P,Collingwood Resources Corp.,TSXV
CAD,Colonial Coal International Corp.,TSXV
CLUS,Colossus Resources Corp.,TSXV
TIE,Coloured Ties Capital Inc.,TSXV
CMU,Comet Industries Ltd.,TSXV
CLIC,Comet Lithium Corporation,TSXV
CMD,Commander Resources Ltd.,TSXV
CCE,Commerce Resources Corp.,TSXV
CVB,Compass Gold Corporation,TSXV
CVI.P,Compass Venture Inc.,TSXV
CAG,Composite Alliance Group Inc.,TSXV
CHS,Comprehensive Healthcare Systems Inc.,TSXV
CN,Condor Resources Inc.,TSXV
COS,Coniagas Battery Metals Inc.,TSXV
CQR,Conquest Resources Limited,TSXV
FFP,Consolidated Firstfund Capital Corp.,TSXV
CLM,Consolidated Lithium Metals Inc.,TSXV
CNST.P,Constellation Capital Corp.,TSXV
CNS,Contagious Gaming Inc.,TSXV
CPAU,Copaur Minerals Inc.,TSXV
CUU,Copper Fox Metals Inc.,TSXV
CPL,Copper Lake Resources Ltd.,TSXV
CRD,Copper Road Resources Inc.,TSXV
CPER,CopperCorp Resources Inc.,TSXV
CUEX,CopperEx Resources Corporation,TSXV
CDB,Cordoba Minerals Corp.,TSXV
CUSN,Cornish Metals Inc.,TSXV
CSO,Corsa Coal Corp.,TSXV
COSA,Cosa Resources Corp.,TSXV
CTH,CoTec Holdings Corp.,TSXV
COV,Covalon Technologies Ltd.,TSXV
CRAN.P,Cranstown Capital Corp,TSXV
CEQ,Criterium Energy Ltd.,TSXV
CRE,Critical Elements Lithium Corporation,TSXV
CWV,Crown Point Energy Inc.,TSXV
CSTR,Cryptostar Corp.,TSXV
CUB,Cubicfarm Systems Corp.,TSXV
WATR,Current Water Technologies Inc.,TSXV
CCII.P,Cuspis Capital II Ltd.,TSXV
CVW,CVW CleanTech Inc.,TSXV
CYBE,"CyberCatch Holdings, Inc.",TSXV
CYM,Cymat Technologies Ltd.,TSXV
CYTO,Cytophage Technologies Ltd.,TSXV
DTWO,D2 Lithium Corp.,TSXV
DMR,Damara Gold Corp.,TSXV
DAR,Darelle Online Solutions Inc.,TSXV
DAC,Datable Technology Corporation,TSXV
DM,Datametrex AI Limited,TSXV
DUR.P,Daura Capital Corp.,TSXV
DTEA,DAVIDsTEA Inc.,TSXV
DEC,Decade Resources Ltd.,TSXV
DB,Decibel Cannabis Company Inc.,TSXV
DE,Decisive Dividend Corporation,TSXV
DKL,Decklar Resources Inc.,TSXV
MKT,DeepMarkit Corp.,TSXV
DEFN,Defense Metals Corp.,TSXV
DEF,Defiance Silver Corp.,TSXV
DHB,Delivra Health Brands Inc.,TSXV
DELX,DelphX Capital Markets Inc.,TSXV
DLTA,Delta Resources Limited,TSXV
DBC.P,Departure Bay Capital Corp.,TSXV
DAU,Desert Gold Ventures Inc.,TSXV
DME,Desert Mountain Energy Corp.,TSXV
DSY,Destiny Media Technologies Inc.,TSXV
FARM,Deveron Corp.,TSXV
GSD,Devonian Health Group Inc.,TSXV
DFR,DFR Gold Inc.,TSXV
DGL.P,DGL Investments No.1 Inc,TSXV
DGTL,DGTL Holdings Inc.,TSXV
ADK,Diagnos Inc.,TSXV
DMI,Diamcor Mining Inc.,TSXV
DWS,Diamond Estates Wines & Spirits Inc.,TSXV
DGHI,Digihost Technology Inc.,TSXV
DNO,Dinero Ventures Ltd.,TSXV
DOS,Dios Exploration Inc.,TSXV
DHR,Discovery Harbour Resources Corp.,TSXV
DCY,Discovery-Corp Enterprises Inc.,TSXV
DCOP,District Copper Corp.,TSXV
DMX,District Metals Corp.,TSXV
DG,Dixie Gold Inc.,TSXV
DLC,DLC Holdings Corp.,TSXV
DLP,DLP Resources Inc.,TSXV
DMGI,DMG Blockchain Solutions Inc.,TSXV
DV,Dolly Varden Silver Corporation,TSXV
DAQ.P,Dominus Acquisition Corp.,TSXV
DCMC,Dore Copper Mining Corp.,TSXV
DBG,Doubleview Gold Corp.,TSXV
DRAX.P,Draxos Capital Corp.,TSXV
FLT,Drone Delivery Canada Corp.,TSXV
DVX.P,Drummond Ventures Corp.,TSXV
DRY,Dryden Gold Corp.,TSXV
DGO,Durango Resources Inc.,TSXV
DYG,Dynasty Gold Corp.,TSXV
REE,E-Tech Resources Inc.,TSXV
ETU,E2Gold Inc.,TSXV
ETL,E3 Lithium Ltd.,TSXV
EPL,Eagle Plains Resources Ltd.,TSXV
EAC,Earth Alive Clean Technologies Inc.,TSXV
SPOT,EarthLabs Inc,TSXV
EWK,Earthworks Industries Inc.,TSXV
EAM,East Africa Metals Inc.,TSXV
EW,East West Petroleum Corp.,TSXV
ETF,Eastfield Resources Ltd.,TSXV
EBM,Eastwood Bio-Medical Canada Inc.,TSXV
ECCF.P,ECC Ventures 4 Corp.,TSXV
ECCV.P,ECC Ventures 5 Corp.,TSXV
ECCS.P,ECC Ventures 6 Corp.,TSXV
EOG,Eco (Atlantic) Oil & Gas Ltd.,TSXV
ECM,Ecolomondo Corporation,TSXV
EDY,Eddy Smart Home Solutions Ltd.,TSXV
CTRL,Edge Total Intelligence Inc.,TSXV
YFI,Edgewater Wireless Systems Inc.,TSXV
EDDY,Edison Lithium Corp.,TSXV
EDM,EDM Resources Inc.,TSXV
EGR,EGR Exploration Ltd.,TSXV
EGT,Eguana Technologies Inc.,TSXV
ERA,Elcora Advanced Materials Corp.,TSXV
ELBM,Electra Battery Materials Corporation,TSXV
EML,Electric Metals (USA) Limited,TSXV
ELEC,Electric Royalties Ltd.,TSXV
ELY,Electrum Discovery Corp.,TSXV
ECU,Element 29 Resources Inc.,TSXV
ELM,Element Lifestyle Retirement Inc.,TSXV
ELE,Elemental Altus Royalties Corp.,TSXV
ELVT,Elevation Gold Mining Corporation,TSXV
ELC,Elysee Development Corp.,TSXV
ECOM,Emerge Commerce Ltd.,TSXV
EMR,Emergent Metals Corp.,TSXV
EMO,Emerita Resources Corp.,TSXV
EMNT,Eminent Gold Corp.,TSXV
EMPR,Empress Royalty Corp.,TSXV
EMX,EMX Royalty Corporation,TSXV
ENA,Enablence Technologies Inc.,TSXV
EU,Encore Energy Corp.,TSXV
ECAP.P,Endurance Capital Corp.,TSXV
EDG,Endurance Gold Corporation,TSXV
ENDR,Enduro Metals Corporation,TSXV
ENEV,Enerev5 Metals Inc.,TSXV
EAU,Engineer Gold Mines Ltd.,TSXV
EGM,Engold Mines Ltd.,TSXV
ENTG,Entourage Health Corp.,TSXV
EWS,Environmental Waste International Inc.,TSXV
ENW,EnWave Corporation,TSXV
EON,EON Lithium Corp.,TSXV
EQ,EQ Inc.,TSXV
EQTY,Equity Metals Corporation,TSXV
ERC,Eros Resources Corp.,TSXV
ESE,ESE Entertainment Inc.,TSXV
ESK,Eskay Mining Corp.,TSXV
ESS,Esstra Industries Inc.,TSXV
EBCD.P,Eureka Capital Corp.,TSXV
EMN,Euro Manganese Inc.,TSXV
EOX,Euromax Resources Ltd.,TSXV
EUP,Europacific Metals Inc.,TSXV
EVX,European Electric Metals Inc.,TSXV
FIN,European Energy Metals Corp.,TSXV
EVNI,EV Nickel Inc.,TSXV
EVGN,Evergen Infrastructure Corp.,TSXV
EVER,Evergold Corp.,TSXV
ELL,Everybody Loves Languages Corp.,TSXV
EPF,Everyday People Financial Corp.,TSXV
EVOC.P,Evocati Capital Resources Inc.,TSXV
OKAI,EvokAI Creative Labs Inc.,TSXV
EVMT,Evome Medical Technologies Inc.,TSXV
EVP.P,EVP Capital Inc.,TSXV
XCAP.P,Exelerate Capital Corp.,TSXV
EXG,ExGen Resources Inc.,TSXV
FUU,F3 Uranium Corp.,TSXV
FBF,Fab-Form Industries Ltd.,TSXV
FINV.P,Faction Investment Group Corp.,TSXV
FAIR,Fairchild Gold Corp.,TSXV
FPY.P,Fairplay Ventures Inc.,TSXV
FPC,Falco Resources Ltd.,TSXV
FG,Falcon Gold Corp.,TSXV
FO,Falcon Oil & Gas Ltd.,TSXV
FNC,Fancamp Exploration Ltd.,TSXV
FRS.P,Farstarcap Investment Corp.,TSXV
FMN,Fidelity Minerals Corp.,TSXV
FFC.P,Fife Capital Corp.,TSXV
FDI,Findev Inc.,TSXV
FYL,Finlay Minerals Ltd.,TSXV
FTEC,Fintech Select Ltd.,TSXV
FFOX,Firefox Gold Corp.,TSXV
FWZ,Fireweed Metals Corp.,TSXV
FCA.DB,Firm Capital Apartment Real Estate Investment Trust,TSXV
FGCC.P,First and Goal Capital Corp.,TSXV
FAS,First Andes Silver Ltd.,TSXV
FAN,First Atlantic Nickel Corp.,TSXV
HELI,First Helium Inc.,TSXV
FHYD,First Hydrogen Corp.,TSXV
FNM,First Nordic Metals Corp.,TSXV
AAA.P,First Tidal Acquisition Corp.,TSXV
FTZ,Fitzroy Minerals Inc.,TSXV
FEX,Fjordland Exploration Inc.,TSXV
FONC.P,Florence One Capital Inc.,TSXV
FW,Flow Capital Corp.,TSXV
FLY,FLYHT Aerospace Solutions Ltd.,TSXV
FLYN,Flying Nickel Mining Corp.,TSXV
FOBI,Fobi AI Inc.,TSXV
FMS,Focus Graphite Inc.,TSXV
FKM,Fokus Mining Corporation,TSXV
FTJ,Fort St. James Nickel Corp.,TSXV
FOR,Fortune Bay Corp.,TSXV
FMC,Forum Energy Metals Corp.,TSXV
FWTC,Forward Water Technologies Corp.,TSXV
FDR,Founders Metals Inc.,TSXV
FA,Fountain Asset Corp.,TSXV
FUN.P,Fountainhall Capital Corp.,TSXV
AROW.P,Four Arrows Capital Corp.,TSXV
FP,FP Newspapers Inc.,TSXV
FPX,FPX Nickel Corp.,TSXV
FMAC.P,Fraser Mackenzie Accelerator Corp.,TSXV
FRED,Fredonia Mining Inc.,TSXV
FMAN,Freeman Gold Corp.,TSXV
FRI,Freeport Resources Inc.,TSXV
FRE,Fremont Gold Ltd.,TSXV
FREQ,Frequency Exchange Corp.,TSXV
FRNT,FRNT Financial Inc.,TSXV
FL,Frontier Lithium Inc.,TSXV
FRXI,FRX Innovations Inc.,TSXV
FTI,FTI Foodtech International Inc.,TSXV
NHHH,FuelPositive Corporation,TSXV
FCLI,Full Circle Lithium Corp.,TSXV
FMM,Full Metal Minerals Ltd.,TSXV
FUSE,Fuse Battery Metals Inc.,TSXV
GETT,G.E.T.T. Gold Inc.,TSXV
GTM.P,G2M Cap Corp.,TSXV
GGG,G6 Materials Corp.,TSXV
GAB,Gabo Mining Ltd.,TSXV
GBU,Gabriel Resources Ltd.,TSXV
GAL,Galantas Gold Corporation,TSXV
GXY.P,Galaxy Ventures Inc.,TSXV
GGO,Galleon Gold Corp.,TSXV
GRI,Galore Resources Inc.,TSXV
GWM,Galway Metals Inc.,TSXV
GGI,Garibaldi Resources Corp.,TSXV
GSI,Gatekeeper Systems Inc.,TSXV
GKO,Geekco Technologies Corporation,TSXV
GA,General Assembly Holdings Limited,TSXV
GEN,Generation Uranium Inc.,TSXV
REBL.P,Genesis Acquisition Corp.,TSXV
GNFI,Genifi Inc.,TSXV
GENI,Genius Metals Inc.,TSXV
GENX,Genix Pharmaceuticals Corporation,TSXV
GSP,Gensource Potash Corporation,TSXV
GMA,Geomega Resources Inc.,TSXV
GTC,Getty Copper Inc.,TSXV
GFG,GFG Resources Inc.,TSXV
GGL,GGL Resources Corp.,TSXV
GGX,GGX Gold Corp.,TSXV
GIGA,Giga Metals Corporation,TSXV
GOK,GINSMS Inc.,TSXV
GIT,Gitennes Exploration Inc.,TSXV
EMM,Giyani Metals Corp.,TSXV
GLI,Glacier Lake Resources Inc.,TSXV
GLAD,Gladiator Metals Corp.,TSXV
GBML,Global Battery Metals Ltd.,TSXV
GEMC,Global Energy Metals Corporation,TSXV
GMV,GMV Minerals Inc.,TSXV
GG,Golconda Gold Ltd.,TSXV
GXX,Gold Basin Resources Corporation,TSXV
GBRC,Gold Bull Resources Corp.,TSXV
GRZ,Gold Reserve Inc.,TSXV
YGT,Gold Terra Resource Corp.,TSXV
AUU,Gold79 Mines Ltd.,TSXV
GLB,Goldbank Mining Corporation,TSXV
GCN,Goldcliff Resource Corporation,TSXV
GRG,Golden Arrow Resources Corporation,TSXV
GNG,Golden Goliath Resources Ltd.,TSXV
GHML,Golden Horse Minerals Limited,TSXV
GDP,Golden Pursuit Resources Ltd.,TSXV
GLDN,Golden Ridge Resources Ltd.,TSXV
GSH,Golden Share Resources Corporation,TSXV
AUEN,Golden Sky Minerals Corp.,TSXV
GCV.P,Golden Star Capital Ventures Inc.,TSXV
GDX,Goldex Resources Corporation,TSXV
GOFL,Goldflare Exploration Inc.,TSXV
GGA,Goldgroup Mining Inc.,TSXV
GHL,Goldhills Holding Ltd.,TSXV
GLD,GoldON Resources Ltd.,TSXV
GQC,GoldQuest Mining Corp.,TSXV
GSHR,Goldshore Resources Inc.,TSXV
GXS,Goldsource Mines Inc.,TSXV
GSTM,Goldstorm Metals Corp.,TSXV
GOT,Goliath Resources Limited,TSXV
GOOD,Good Gamer Entertainment Inc.,TSXV
GDNP,Good Natured Products Inc.,TSXV
GFOR.P,Good2Go4 Corp.,TSXV
GODB.P,Goodbridge Capital Corp.,TSXV
GSS,Gossan Resources Limited,TSXV
GXU,GoviEx Uranium Inc.,TSXV
GWA,Gowest Gold Ltd.,TSXV
GPM,GPM Metals Inc.,TSXV
GRSL,GR Silver Mining Ltd.,TSXV
GGM,Granada Gold Mine Inc.,TSXV
GPG,Grande Portage Resources Ltd.,TSXV
GCX,Granite Creek Copper Ltd.,TSXV
GEL,Graphano Energy Ltd.,TSXV
GMG,Graphene Manufacturing Group Ltd.,TSXV
